Muscle,Origin,Insertion,Artery,Nerve,Action,Antagonist
dorsal interossei,,,,Lateral plantar nerve,abduct toes,Plantar interossei muscles
plantar interossei,metatarsals,proximal phalanges,,Lateral plantar nerve,adduct toes,Dorsal interossei of the foot
