Muscle,Origin,Insertion,Artery,Nerve,Action,Antagonist
quadratus plantae,Calcaneus,Tendons of Flexor Digitorum Longus,,"lateral plantar nerve (S1, S2)",Assists Flexor Digitorum Longus in flexion of DIP joints,
lumbrical muscle,tendons of flexor digitorum longus,medial aspect of extensor expansion of proximal phalanges of lateral four digits,"lateral plantar artery and plantar arch, and four plantar metatarsal arteries",lateral plantar nerve (lateral three lumbricals) and medial plantar nerve (first lumbrical),maintain extension of digits at interphalangeal joints,
