Muscle,Origin,Insertion,Artery,Nerve,Action,Antagonist
longus colli,Transverse processes of C-3 – C-6,Anterior arch of atlas,,"C2, C3, C4, C5, C6",Flexes the neck and head,
longus capitis,"anterior tubercles of the transverse processes of the third, fourth, fifth, and sixth cervical vertebrae",basilar part of the occipital bone,,"C1, C2, C3/C4",flexion of neck at atlanto-occipital joint,
rectus capitis anterior,atlas,occipital bone,,C1,flexion of neck at atlanto-occipital joint,
rectus capitis lateralis,upper surface of the transverse process of the atlas,under surface of the jugular process of the occipital bone,,C1,Sidebend at atlanto-occipital joint,
