Muscle,Origin,Insertion,Artery,Nerve,Action,Antagonist
flexor hallucis brevis,,,,medial plantar nerve,flex hallux,Extensor hallucis longus muscle
adductor hallucis,,,,lateral plantar nerve,adducts hallux,Abductor hallucis muscle
flexor digiti minimi brevis,fifth metatarsal bone,phalanx of the fifth toe,,lateral plantar nerve (superficial branch),extend and adduct the fifth toe,Abductor digiti minimi muscle
