Muscle,Origin,Insertion,Artery,Nerve,Action,Antagonist
extensor digitorum brevis,calcaneus,toes,,deep peroneal nerve,"extends digits 2, 3, and 4","Flexor digitorum longus, Flexor digitorum brevis"
extensor hallucis brevis,calcaneus,base of proximal phalanx of hallux,,deep peroneal nerve,Extension of hallux,Flexor hallucis brevis muscle
