Muscle,Origin,Insertion,Artery,Nerve,Action,Antagonist
longus,fibula,"first metatarsal, medial cuneiform",fibular (peroneal) artery,superficial fibular (peroneal) nerve,"plantarflexion, eversion",Tibialis anterior muscle
brevis,fibula,fifth metatarsal,fibular (peroneal) artery,superficial fibular (peroneal) nerve,"plantarflexion, eversion",
